park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Adams Lake Park - Bush Creek Site,tc,0,0,0,0,1736,1620.5,3759,4112.5,2292.5,0,0,0,0,0,0,0,1645,1414,3748.5,1589,1396.5,0,0,0,0,0,0,0,1648.5,1753.5,6062,5099.5,2058,0,0,0,0,0,0,0,2002,2082.5,4424,5141.5,1704.5,0,0,0,0,0,0,0,1617,2271.5,4228,5183.5,1774.5,0,0,0,0,0,0,0,1505,3454.5,4196.5,4879,1487.5,0,0,0,0,0,0,0,1620.5,3146.5,4648,5106.5,1379,0,0,0,0,0,0,0,2019.5,2537.5,4578,2835,1869,0,0,0,0,0,0,0,1813,2607.5,5659.5,4434.5,1578.5,0,0,0,0,0,0,0,1659,3335.5,5120.5,5540.5,1585.5,0,0,0
Akamina-Kishinena Park,ok,0,0,0,0,0,0,1648,1457,617,0,0,0,0,0,0,0,0,0,1256,1592,750,0,0,0,0,0,0,0,0,0,1676,1328,885,0,0,0,0,0,0,0,0,156,17,16,16,2,0,0,0,0,0,0,0,260,2086,2090,777,247,0,0,0,0,0,0,193,1444,3811,3754,1719,516,0,0,0,0,0,0,28,236,1317,1387,338,16,0,0,0,0,0,0,0,565,2401,2392,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandra Bridge Park,south,0,0,0,0,1641.5,4525.5,8060.5,10496.5,6499.5,0,0,0,0,0,0,0,360.5,3514,6195,9285.5,3829,0,0,0,0,0,0,0,490,367.5,231,311.5,6090,0,0,0,0,0,0,0,423.5,588,570.5,780,350,0,0,0,0,0,0,0,269.5,777,847,1050,805,0,0,0,0,0,0,0,0,1001,549.5,714,2415,0,0,0,0,0,0,0,311.5,787.5,787.5,819,1190,0,0,0,0,0,0,0,336,854,728,981,1470,0,0,0,0,0,0,0,304.5,882,686,798,1694,0,0,0,0,0,0,0,318.5,840,731.5,826,1452.5,0,0,0
Alice Lake Park,south,8932,9100,14436.5,0,27629,36556,74690,5967,27398.5,19101,9530,0,7770,7192.5,10507,1886.5,30402,39796,62630,67488.5,39479.5,17347,8803,0,0,0,0,22303,34914.5,35535.5,65008.5,71592.5,40365.5,22495.5,10068.5,9240,9254,9418.5,20223.5,21062,6980,50392.5,89809.5,73009.5,42564,22620,11250,8855,13258,14273,14262.5,26327.5,38961,58051,74552.5,91760,53379.5,20832.5,12978,8501.5,10069.5,15347.5,8876,22326.5,39021.5,61173,68036.5,68062,36492,21914.5,13867,14829.5,16996,18637.5,24101,40876.5,53551.5,62609,82730.5,68912,50147,26831,17171,14210,13440,11147.5,16425.5,33757.5,50732.5,73151,102995.5,88088,62622,30390.5,15312.5,15928.5,11865,17577,25781,27524,50603,53768,94917,76681.5,44434.5,35966,19470.5,13930,11753,14700,25018,28710.5,50725.5,64337,91511.5,77886,45560.5,27156.5,0,0
Allison Lake Park,ok,0,0,0,0,3066,2520,3342.5,3906,654.5,0,0,0,0,0,0,0,3906,2254,2254,4126.5,1260,0,0,0,0,0,0,0,0,238,3955,3976,1449,0,0,0,0,0,0,0,0,1148,3367,3451,1120,0,0,0,0,0,0,0,1078,2341.5,3696,4336.5,1302,0,0,0,0,0,0,0,1036,2677.5,3535,4175.5,1963.5,707,0,0,0,0,0,0,0,1620.5,3426.5,4392.5,773.5,0,0,0,0,0,0,0,0,2107,2572.5,3878,1305.5,0,0,0,0,0,0,0,0,2068.5,3682,2978.5,763,0,0,0,0,0,0,0,973,3115,3500,3265.5,882,0,0,0
Ancient Forest/Chun T'oh Whudujut Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Flats Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,930,1047,994,1241,0,0,0,0,0,0,0,975,66,211,1052,424,0,0,0
Anhluut'ukwsim Laxmihl Angwinga'asanakwhl Nisga'a [a.k.a. Nisga'a Memorial Lava Bed Park],north,0,0,0,0,0,0,4774,899.5,0,0,0,0,0,0,0,0,553,868,4004,3503.5,794.5,0,0,0,0,0,0,0,84,462,3374,3535,829.5,0,0,0,0,0,0,0,510.5,1407.5,4617,5537.5,1349.5,62,0,0,0,0,0,0,316.5,602.5,2607.5,5585.5,1260,0,0,0,0,0,0,0,576.5,881,3789.5,4160.5,1249.5,0,0,0,0,0,0,0,567.5,611.5,2677,6447,1133.5,0,0,0,0,0,0,0,121.5,336,1585,1232,368,0,0,0,0,0,0,0,216.5,1571.5,2996.5,4219.5,2233.5,0,0,0,0,0,0,0,558.5,1457.5,4361,3968.5,1509.5,0,0,0
Arrow Lakes Park,ok,0,0,0,0,2821,1956.5,3069.5,1578.5,2289,0,0,0,0,0,0,0,703.5,2285.5,2884,3517.5,2688,612.5,0,0,0,0,0,0,2674,1928.5,3055.5,3297,2880.5,990.5,0,0,0,0,0,931,2355.5,1382.5,3020.5,4235,2761.5,0,0,0,0,0,0,0,0,2285.5,3507,3986.5,2989,0,0,0,0,0,0,0,2663.5,2639,3769.5,4151,2877,0,0,0,0,0,0,0,2114,2488.5,3979.5,4508,3031,0,0,0,0,0,0,0,2600.5,2964.5,4578,4879,3514,0,0,0,0,0,0,0,3948,4123,5565,5295.5,4060,0,0,0,0,0,0,0,3167.5,3230.5,5057.5,5260.5,3265.5,0,0,0
Babine Lake Marine Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
