park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Adams Lake Park - Bush Creek Site,tc,0,0,0,0,2456,2711.7,6578.2,6675.7,2903.7,0,0,0,0,0,0,0,2688.2,2754.8,6090.9,4341,2359.7,0,0,0,0,0,0,0,2458.1,2543.9,8052.4,7803.5,2902.8,0,0,0,0,0,0,0,2533.2,3205.7,7092.8,8130.3,2523.7,0,0,0,0,0,0,0,2276.2,3391.5,6784.8,7740.3,2654.5,0,0,0,0,0,0,0,2183.4,4939.3,7073.3,7371.8,2114.7,0,0,0,0,0,0,0,2564.5,4852.1,7323.2,7650.5,1955,0,0,0,0,0,0,0,2813.1,3468.7,7237.2,5148.6,2336.2,0,0,0,0,0,0,0,2549,3477.9,8251.5,7064.9,2055.3,0,0,0,0,0,0,0,2667,5172.3,7926.9,8535.7,2391.9,0,0,0
Akamina-Kishinena Park,ok,0,0,0,0,0,0,1716,1513,663,0,0,0,0,0,0,0,0,7,1297,1608,778,0,0,0,0,0,0,0,0,0,1741,1358,901,0,0,0,0,0,0,0,0,156,81,27,26,4,0,0,0,0,0,0,0,284,2157,2311,797,258,0,0,0,0,0,0,193,1510,3903,3878,1746,521,0,0,0,0,0,0,28,262,1371,1463,374,16,0,0,0,0,0,0,0,583,2484,2425,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandra Bridge Park,south,0,0,0,0,1641.5,4525.5,8060.5,10496.5,6499.5,0,0,0,0,0,0,0,360.5,3514,6195,9285.5,3829,0,0,0,0,0,0,0,490,367.5,231,311.5,6090,0,0,0,0,0,0,0,423.5,588,570.5,780,350,0,0,0,0,0,0,0,269.5,777,847,1050,805,0,0,0,0,0,0,0,0,1001,549.5,714,2415,0,0,0,0,0,0,0,311.5,787.5,787.5,819,1190,0,0,0,0,0,0,0,336,854,728,981,1470,0,0,0,0,0,0,0,304.5,882,686,798,1694,0,0,0,0,0,0,0,318.5,840,731.5,826,1452.5,0,0,0
Alice Lake Park,south,8932,9100,14538.9,0,31795.4,43694.6,85927.8,17467.2,31881.7,20556.6,9530,0,7770,7192.5,10507,3236.9,33675.6,46279.2,73266.8,78298.1,44045.9,18163,8803,0,0,0,0,23404.2,39760.9,42486.5,76838.9,83416.1,47579.1,24274.9,10068.5,9240,9254,9418.5,21218.7,22125.4,12250,58495.3,101875.3,85488.7,47564,24743.4,11250,8855,13258,14273,14627.3,27869.9,44364.2,67618.8,86279.7,103640.6,59485.7,22148.7,12978,8501.5,10069.5,15347.5,9263.2,24647.5,45856.1,71071.6,80365.3,80020.6,42279.2,23983.3,13867,14829.5,16996,18637.5,26098.2,45074.7,60551.5,72952.8,94401.1,81203.2,58138,28939.4,17171,14210,13440,11147.5,16425.5,37274.7,57908.1,83729.8,115196.3,99955.2,71510.2,34015.7,15312.5,15928.5,11865,17577,27590.8,30630.2,58712.2,65209.2,107315.8,88588.1,52027.7,39974.4,19470.5,13930,11753,14700,26636.2,33269.7,59147.7,75545.6,104130.9,89723.6,53294.3,31171.1,0,0
Allison Lake Park,ok,0,0,0,0,3066,2520,3857.7,5160.4,708.9,0,0,0,0,0,0,0,3982.8,2410.8,2884.4,4478.5,1314.4,0,0,0,0,0,0,0,0,286,4515,4641.6,1596.2,0,0,0,0,0,0,0,0,1343.2,4099.8,3943.8,1187.2,0,0,0,0,0,0,0,1170.8,2565.5,4105.6,5062.9,1353.2,0,0,0,0,0,0,0,1282.4,2904.7,4165.4,4863.5,2149.1,719.8,0,0,0,0,0,0,0,1956.5,4066.5,5086.9,920.7,0,0,0,0,0,0,0,0,2439.8,2764.5,4524.4,1401.5,0,0,0,0,0,0,0,140.8,2484.5,4456.4,3464.9,801.4,0,0,0,0,0,0,0,1033.8,3335.8,4088.8,3710.3,910.8,0,0,0
Ancient Forest/Chun T'oh Whudujut Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Flats Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,930,1047,994,1241,0,0,0,0,0,0,0,975,66,211,1052,424,0,0,0
Anhluut'ukwsim Laxmihl Angwinga'asanakwhl Nisga'a [a.k.a. Nisga'a Memorial Lava Bed Park],north,0,0,0,0,38.4,182.4,4943.6,1181.1,121.6,0,0,0,0,0,0,0,585,935.2,4288.8,3695.5,794.5,0,0,0,0,0,0,0,96.8,532.4,3591.6,3800.6,829.5,0,0,0,0,0,0,0,574.5,1561.1,4892.2,6215.9,1586.3,62,0,0,0,0,0,0,361.3,672.9,2844.3,6302.3,1378.4,0,0,0,0,0,0,0,723.7,941.8,4128.7,4787.7,1374.3,0,0,0,0,0,0,0,580.3,678.7,3038.6,7119,1293.5,0,0,0,0,0,0,0,137.5,403.2,1799.4,1376,432,0,0,0,0,0,0,0,258.1,1651.5,3306.9,4533.1,2342.3,0,0,0,0,0,0,0,644.9,1732.7,4697,4291.7,1672.7,0,0,0
Arrow Lakes Park,ok,0,0,0,0,3473.8,2481.3,3882.3,2295.3,2852.2,0,0,0,0,0,0,0,1292.3,2819.9,3440.8,4275.9,3468.8,689.3,0,0,0,0,0,0,3454.8,2197.3,3621.9,4305,3651.7,1192.1,0,0,0,0,0,979,3248.3,2083.3,3762.9,5323,3363.1,0,0,0,0,0,0,0,662.4,3024.7,4179,4997.7,3587.4,0,0,0,0,0,0,0,3396.3,3010.2,4358.3,4733.4,3574.6,0,0,0,0,0,0,0,2693.2,2894.9,4609.9,5368.8,3706.2,0,0,0,0,0,0,0,3067.7,3409.3,5144.4,5605.4,4077.2,0,0,0,0,0,0,0,4594.4,4615.8,6262.6,6111.5,4536.8,0,0,0,0,0,0,0,3897.1,3912.1,5860.7,6393.3,3588.7,0,0,0
Babine Lake Marine Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
