"year","scenario","growthrate","population"
2020,"LG",8.40852172187346,5286528
2021,"LG",7.86363873662201,5328099.34636304
2022,"LG",7.35406486722194,5367282.53457519
2023,"LG",6.87751203770846,5404196.08481652
2024,"LG",6.4318404423719,5438955.01175335
2025,"LG",6.01504893765545,5471670.59231875
2026,"LG",5.62526605666967,5502450.195175
2027,"LG",5.26074160597836,5531397.16385158
2028,"LG",4.91983880692332,5558610.7462748
2029,"LG",4.60102694620126,5584186.06410186
2030,"LG",4.30287450269304,5608214.11593537
2031,"LG",4.02404271968286,5630781.80911903
2032,"LG",3.76327959360612,5651972.01539733
2033,"LG",3.51941425233384,5671863.64626211
2034,"LG",3.2913516977519,5690531.74430365
2035,"LG",3.07806788902745,5708047.58733729
2036,"LG",2.87860514448616,5724478.80248717
2037,"LG",2.69206784145375,5739889.48778043
2038,"LG",2.51761839475316,5754340.33913871
2039,"LG",2.3544734958004,5767888.78095303
2040,"LG",2.20190059541176,5780589.09869408
2041,"LG",2.05921461452954,5792492.5722467
2042,"LG",1.92577486809714,5803647.60886597
2043,"LG",1.80098218827075,5814099.87483654
2044,"LG",1.68427623405089,5823892.42507813
2045,"LG",1.57513297525304,5833065.83008119
2046,"LG",1.47306233952035,5841658.29967943
2047,"LG",1.37760601181278,5849705.80327202
2048,"LG",1.2883353764924,5857242.18620045
2049,"LG",1.20484959276395,5864299.28206322
2050,"LG",1.12677379482953,5870907.02081928
2051,"LG",1.05375740867539,5877093.53258811
2052,"LG",0.985472577933232,5882885.24710243
2053,"LG",0.921612691747665,5888306.98881025
2054,"LG",0.861891008039722,5893382.06765649
2055,"LG",0.806039365984691,5898132.36560181
2056,"LG",0.753806981923005,5902578.4189593
2057,"LG",0.704959323297692,5906739.49664725
2058,"LG",0.659277055562085,5910633.67447057
2059,"LG",0.61655505732927,5914277.90555458
2060,"LG",0.576601499341128,5917688.08706245
2061,"LG",0.539236983121331,5920879.12333357
2062,"LG",0.504293735444773,5923864.98558379
2063,"LG",0.471614855006377,5926658.76831004
2064,"LG",0.441053607906744,5929272.74254264
2065,"LG",0.412472768791235,5931718.40608767
2066,"LG",0.385744004684073,5934006.53090029
2067,"LG",0.360747298750812,5936147.20772709
2068,"LG",0.337370411401707,5938149.8881527
2069,"LG",0.315508376316294,5940023.42418223
2070,"LG",0.29506302912621,5941776.10548685
2071,"LG",0.275942566639992,5943415.6944358
2072,"LG",0.258061134630651,5944949.45903349
2073,"LG",0.24133844233515,5946384.20387569
2074,"LG",0.225699401934812,5947726.29923418
2075,"LG",0.21107379139785,5948981.70837436
2076,"LG",0.197395939170148,5950156.01320579
2077,"LG",0.184604429298472,5951254.43836084
2078,"LG",0.172641825662078,5952281.87379206
2079,"LG",0.161454414074461,5953242.8959744
2080,"LG",0.150991961097255,5954141.78779415
2081,"LG",0.141207488483285,5954982.55720208
2082,"LG",0.132057062236008,5955768.95470425
2083,"LG",0.123499595338169,5956504.48976008
2084,"LG",0.115496663263896,5957192.44615337
2085,"LG",0.108012331445842,5957835.89639835
2086,"LG",0.101012993922686,5958437.71523954
2087,"LG",0.0944672224424742,5959000.5923006
2088,"LG",0.0883456253442633,5959527.04393435
2089,"LG",0.0826207155844104,5960019.42432327
2090,"LG",0.0772667873149339,5960479.93587652
2091,"LG",0.0722598004597498,5960910.63896733
2092,"LG",0.067577272770518,5961313.46105154
2093,"LG",0.0631981788774065,5961690.205206
2094,"LG",0.0591028558814989,5962042.558123
2095,"LG",0.0552729150649314,5962372.09759493
2096,"LG",0.0516911593223274,5962680.29952097
2097,"LG",0.0483415059427819,5962968.5444661
2098,"LG",0.0452089143956692,5963238.12380057
2099,"LG",0.0422793187960278,5963490.24544627
2100,"LG",0.0395395647462702,5963726.03925494
