"year","scenario","growthrate","population"
2020,"M4",11.5718066153673,5286528
2021,"M4",11.3349374740245,5346450.46433468
2022,"M4",11.1029169265085,5405811.65969188
2023,"M4",10.8756457245089,5464603.35215611
2024,"M4",10.6530266512787,5522817.9173053
2025,"M4",10.4349644800496,5580448.32610216
2026,"M4",10.2213659332981,5637488.13051511
2027,"M4",10.0121396428452,5693931.44891271
2028,"M4",9.80719611077353,5749772.9512735
2029,"M4",9.60644767114315,5805007.84425086
2030,"M4",9.40980845249287,5859631.85613048
2031,"M4",9.2171943411075,5913641.22171578
2032,"M4",9.02852294503804,5967032.66717476
2033,"M4",8.8437135588576,6019803.3948796
2034,"M4",8.6626871291395,6071951.06826838
2035,"M4",8.48536622064145,6123473.79675645
2036,"M4",8.31167498318219,6174370.12072312
2037,"M4",8.14153911919604,6224638.99659738
2038,"M4",7.97488585195152,6274279.78206485
2039,"M4",7.81164389442088,6323292.22141631
2040,"M4",7.65174341878642,6371676.43105659
2041,"M4",7.49511602657125,6419432.88519113
2042,"M4",7.34169471938139,6466562.40170576
2043,"M4",7.19141387024661,6513066.1282542
2044,"M4",7.04420919554838,6558945.52856607
2045,"M4",6.90001772752188,6604202.36898702
2046,"M4",6.75877778732125,6648838.70526151
2047,"M4",6.6204289586359,6692856.86956712
2048,"M4",6.48491206184724,6736259.45780879
2049,"M4",6.3521691287141,6779049.31717969
2050,"M4",6.22214337757646,6821229.53399485
2051,"M4",6.09477918906672,6862803.42180249
2052,"M4",5.97002208231806,6903774.50977726
2053,"M4",5.8478186916601,6944146.53139854
2054,"M4",5.72811674379118,6983923.41341638
2055,"M4",5.61086503541827,7023109.26510676
2056,"M4",5.49601341135425,7061708.36781719
2057,"M4",5.38351274306386,7099725.16480314
2058,"M4",5.27331490764859,7137164.2513549
2059,"M4",5.16537276726179,7174030.36521433
2060,"M4",5.05964014894517,7210328.37727992
2061,"M4",4.9560718248779,7246063.28259867
2062,"M4",4.8546234930303,7281240.19164236
2063,"M4",4.75525175821323,7315864.32186564
2064,"M4",4.65791411351556,7349940.98954302
2065,"M4",4.56256892212156,7383475.60188134
2066,"M4",4.46917539950037,7416473.64940408
2067,"M4",4.37769359596037,7448940.69860368
2068,"M4",4.28808437956023,7480882.38485764
2069,"M4",4.20030941937011,7512304.40560395
2070,"M4",4.11433116907522,7543212.51377151
2071,"M4",4.03011285091524,7573612.51146044
2072,"M4",3.94761843995238,7603510.24386774
2073,"M4",3.86681264866143,7632911.59345295
2074,"M4",3.78766091183537,7661822.47433897
2075,"M4",3.71012937179973,7690248.82694253
2076,"M4",3.6341848639299,7718196.61282926
2077,"M4",3.55979490246469,7745671.80978783
2078,"M4",3.48692766661033,7772680.40711786
2079,"M4",3.41555198692886,7799228.40112616
2080,"M4",3.3456373320053,7825321.7908258
2081,"M4",3.2771537953876,7850966.57383274
2082,"M4",3.21007208279391,7876168.74245434
2083,"M4",3.14436349958186,7900934.27996466
2084,"M4",3.07999993847409,7925269.15706084
2085,"M4",3.01695386753531,7949179.3284955
2086,"M4",2.95519831839531,7972670.72987969
2087,"M4",2.89470687471301,7995749.2746513
2088,"M4",2.83545366087675,8018420.85120356
2089,"M4",2.77741333093577,8040691.32016874
2090,"M4",2.72056105775838,8062566.51185185
2091,"M4",2.66487252241196,8084052.2238094
2092,"M4",2.61032390376038,8105154.21856846
2093,"M4",2.5568918682743,8125878.22148103
2094,"M4",2.50455356005022,8146229.91870917
2095,"M4",2.45328659103362,8166214.95533622
2096,"M4",2.40306903144235,8185838.93359949
2097,"M4",2.35387940038602,8205107.41124017
2098,"M4",2.30569665667741,8224025.89996594
2099,"M4",2.25850018983196,8242599.8640222
2100,"M4",2.21226981125152,8260834.7188676
