park,latitude,longitude
Adams Lake Park - Bush Creek Site,50.983898,-119.726943
Akamina-Kishinena Park,49.027631,-114.195968
Alexandra Bridge Park,49.705567,-121.407693
Alice Lake Park,49.784209,-123.118287
Allison Lake Park,49.681343,-120.603604
Ancient Forest/Chun T'oh Whudujut Park,53.762291,-121.218785
Anderson Flats Park,55.246686,-127.667701
Anhluut'ukwsim Laxmihl Angwinga'asanakwhl Nisga'a [a.k.a. Nisga'a Memorial Lava Bed Park],55.152413,-128.864044
Arrow Lakes Park,50.637649,-117.925386
Babine Lake Marine Park,54.515611,-125.704798
Babine Mountains Park,54.890431,-126.898907
Babine River Corridor Park,55.624866,-127.020255
Bamberton Park,48.605112,-123.525428
Bear Creek Park,49.928098,-119.518584
Beatton Park,56.326242,-120.945103
Beaumont Park,54.055858,-124.616005
Bellhouse Park,48.872082,-123.311903
Big Bar Lake Park,51.308707,-121.812159
Bijoux Falls Park,55.310914,-122.671534
Birkenhead Lake Park,50.568093,-122.725004
Bishop Bay - Monkey Beach Conservancy,53.470884,-128.836159
Blackcomb Glacier Park,50.092915,-122.873008
Blanket Creek Park,50.832093,-118.086335
Bodega Ridge Park,48.956299,-123.533222
Boundary Creek Park,49.058142,-118.695780
Bowron Lake Park,53.207,-120.963320
Boyle Point Park,49.478418,-124.694376
Brandywine Falls Park,50.034004,-123.119384
Bridal Veil Falls Park,49.181313,-121.741621
Bridge Lake Park,51.48591,-120.699691
Bromley Rock Park,49.417297,-120.258497
Broughton Archipelago Park,50.680629,-126.693504
Buccaneer Bay Park,49.494951,-123.990882
Buckinghorse River Wayside Park,57.384493,-122.842631
Bugaboo Park,50.832506,-116.815132
Bull Canyon Park,52.091421,-123.377247
Burgoyne Bay Park,48.790126,-123.513667
Call Lake Park,54.763273,-127.091205
Callaghan Lake Park,50.201455,-123.178778
Cape Scott Park,50.725079,-128.343568
Carmanah Walbran Park,48.645323,-124.654052
Carp Lake Park,54.765699,-123.378643
Cascade-Sutslem Conservancy,52.646953,-127.464964
Cathedral Park,49.067117,-120.142048
Champion Lakes Park,49.17958,-117.629753
Charlie Lake Park,56.315611,-120.996528
Chasm Park,51.177832,-121.436655
Christie Memorial Park,49.34741,-119.574326
Christina Lake Park,49.042695,-118.219072
Cinnemousun Narrows Park,50.987049,-119.016327
Cody Caves Park,49.733554,-116.949522
Collinson Point Park,48.861282,-123.365935
Conkle Lake Park,49.169229,-119.101861
Copeland Islands Marine Park,50.008777,-124.811982
Coquihalla Canyon Park,49.3701,-121.371434
Cowichan River Park,48.77529,-123.929719
Crooked River Park,54.477725,-122.683056
Cultus Lake Park,49.047991,-121.966100
Cypress Park,49.393968,-123.208585
Desolation Sound Marine Park,50.113251,-124.688182
Diana Lake Park,54.227639,-130.162582
Dionisio Point Park,49.00595,-123.573717
Discovery Island Marine Park,48.424051,-123.232800
Downing Park,51.004842,-121.781690
Drewry Point Park,49.415095,-116.811212
Driftwood Canyon Park,54.826022,-127.021764
Drumbeg Park,49.134035,-123.696470
Dry Gulch Park,50.585607,-116.036147
Dunn Peak Park,51.466719,-119.965322
E.C. Manning Park,49.119421,-120.856781
Elk Falls Park,50.040474,-125.320555
Elk Lakes Park,50.466346,-115.073670
Ellison Park,50.176447,-119.440426
Emory Creek Park,49.512811,-121.416237
Enderby Cliffs Park,50.602406,-119.072248
Englishman River Falls Park,49.24768,-124.351734
Eskers Park,54.077605,-123.197962
Exchamsiks River Park,54.336332,-129.295806
Fillongley Park,49.543896,-124.762279
Finger-Tatuk Park,53.513249,-124.219188
Fintry Park,50.138676,-119.501595
Fossli Park,49.249126,-124.949347
Francis Point Park,49.610767,-124.057623
French Beach Park,48.392955,-123.943074
Gabriola Sands Park,49.19407,-123.859823
Garden Bay Marine Park,49.63765,-124.005658
Garibaldi Park,49.915282,-122.749482
Gladstone Park,49.238293,-118.240412
Golden Ears Park,49.394581,-122.438362
Goldpan Park,50.347939,-121.389483
Goldstream Park,48.471764,-123.549890
Gordon Bay Park,48.835121,-124.198196
Gowlland Tod Park,48.541655,-123.527454
Green Lake Park,51.409465,-121.197452
Grohman Narrows Park,49.495173,-117.343918
Gwillim Lake Park,55.432798,-121.240482
Hai Lake - Mount Herman Park,54.420176,-128.623857
Hakai Conservation Study Area,51.771251,-128.098188
Halkett Bay Marine Park,49.457174,-123.331118
Hamber Park,52.365559,-117.828444
Hathayim Marine Park [a.k.a. Von Donop Marine Park],50.177016,-124.960427
Height of the Rockies Park,50.492372,-115.208211
Helliwell Park,49.519059,-124.597411
Hemer Park,49.100142,-123.831262
Herald Park,50.790626,-119.204327
Horne Lake Caves Park,49.343821,-124.749566
Horsefly Lake Park,52.389963,-121.286964
Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy,53.271548,-127.505802
Inkaneep Park,49.226596,-119.541404
Inland Lake Park,49.925275,-124.479984
Jackman Flats Park,52.932892,-119.389015
JÁJI7EM and KW'ULH MARINE PARK [a.k.a. Sandy Island Marine Park],49.618832,-124.852264
James Chabot Park,50.511397,-116.023788
Jedediah Island Marine Park,49.495566,-124.205651
Jewel Lake Park,49.182085,-118.603889
Jimsmith Lake Park,49.482524,-115.840817
Joffre Lakes Park,50.341532,-122.477503
Johnstone Creek Park,49.04491,-119.049284
Juan De Fuca Park,48.532471,-124.448184
Juniper Beach Park,50.783892,-121.080331
Kakwa Park,54.085982,-120.260928
Kalamalka Lake Park,50.204167,-119.280497
Kekuli Bay Park,50.183124,-119.342641
Kennedy Lake Park,49.039446,-125.581808
Kentucky-Alleyne Park,49.910841,-120.567787
Kettle River Recreation Area,49.112186,-118.982557
Kickininee Park,49.539221,-119.624851
Kikomun Creek Park,49.252733,-115.237946
Kilby Park,49.237062,-121.962639
Kinaskan Lake Park,57.494627,-130.234653
Kiskatinaw Park,55.960076,-120.565857
Kitimat River Park,54.055609,-128.610851
Kleanza Creek Park,54.59802,-128.399164
Kokanee Creek Park,49.607787,-117.121612
Kokanee Glacier Park,49.761131,-117.159794
Koksilah River Park,48.646892,-123.735433
Kootenay Lake Park,49.373492,-116.810930
Kunxalas Conservancy,53.213631,-131.825065
Lac du Bois Grasslands Protected Area,50.766501,-120.467213
Lac La Hache Park,51.858613,-121.637090
Lac Le Jeune Park,50.480227,-120.477939
Lakelse Lake Park,54.385362,-128.523169
"LAU,WELNEW/John Dean Park",48.613668,-123.458477
Liard River Hot Springs Park,59.425333,-126.102615
Little Qualicum Falls Park,49.315809,-124.554858
Lockhart Beach Park,49.508754,-116.786321
Loveland Bay Park,50.050991,-125.447358
Mabel Lake Park,50.455137,-118.734168
Macmillan Park,49.286844,-124.664966
Main Lake Park,50.20903,-125.216086
Mansons Landing Park,50.066029,-124.983772
Maquinna Marine Park,49.372127,-126.309471
Mara Park,50.723315,-119.033898
Marble Canyon Park,50.832754,-121.692990
Martha Creek Park,51.148523,-118.201857
McConnell Lake Park,50.521234,-120.460035
McDonald Creek Park,50.134363,-117.806289
Meziadin Lake Park,56.087022,-129.306531
Miracle Beach Park,49.847314,-125.096238
Mitlenatch Island Nature Park,49.950756,-125.004666
Moberly Lake Park,55.809552,-121.699447
Momich Lakes Park,51.330376,-119.360254
Monashee Park,50.503149,-118.249203
Monck Park,50.17558,-120.538316
Monkman Park,54.570174,-121.165265
Montague Harbour Marine Park,48.899172,-123.405218
Morden Colliery Historic Park,49.095944,-123.871845
Morton Lake Park,50.124844,-125.485650
Mount Assiniboine Park,50.943673,-115.762584
Mount Edziza Park,57.709726,-130.659309
Mount Erskine Park,48.849584,-123.548293
Mount Fernie Park,49.488875,-115.101777
Mount Maxwell Park,48.804066,-123.515113
Mount Robson Park,53.04885,-119.011439
Mount Seymour Park,49.395698,-122.919688
Moyie Lake Park,49.371263,-115.838769
Muncho Lake Park,58.925879,-125.767772
Murrin Park,49.645279,-123.207330
Myra - Bellevue Park,49.811555,-119.445447
Nahatlatch Park,49.979517,-121.789198
Naikoon Park,53.906313,-131.825485
Nairn Falls Park,50.296182,-122.819196
Nancy Greene Park,49.249672,-117.940645
Nicolum River Park,49.362792,-121.342699
Niskonlith Lake Park,50.797419,-119.778838
Norbury Lake Park,49.541008,-115.484799
North Thompson River Park,51.629537,-120.086113
Octopus Islands Marine Park,50.2609,-125.237710
Okanagan Lake Park,49.683023,-119.722024
Okanagan Mountain Park,49.714854,-119.600781
Okeover Arm Park,49.991692,-124.714401
One Island Lake Park,55.3036,-120.277426
Otter Lake Park,49.587019,-120.772944
Paarens Beach Park,54.418011,-124.380747
Paul Lake Park,50.741528,-120.121451
Peace Arch Park,49.004964,-122.759345
Petroglyph Park,49.140272,-123.926231
Pilot Bay Park,49.6444,-116.868925
Pine Le Moray Park,55.41159,-122.524860
Pinecone Burke Park,49.33314,-122.708065
Pinnacles Park,52.978617,-122.561281
Pirates Cove Marine Park,49.095776,-123.724534
Plumper Cove Marine Park,49.404733,-123.464387
Porpoise Bay Park,49.506379,-123.746902
Porteau Cove Park,49.55836,-123.235640
Premier Lake Park,49.909758,-115.645950
Princess Louisa Marine Park,50.206472,-123.769764
Prudhomme Lake Park,54.240647,-130.131862
Puntchesakut Lake Park,52.982972,-122.935032
Purcell Wilderness Conservancy Park,50.201369,-116.574623
Purden Lake Park,53.915645,-121.956779
Pure Lake Park,53.866066,-132.081371
Raft Cove Park,50.584659,-128.230348
Rathtrevor Beach Park,49.320868,-124.268479
Rearguard Falls Park,52.973041,-119.363887
Rebecca Spit Marine Park,50.101284,-125.187820
Red Bluff Park,52.962733,-122.466973
Roberts Creek Park,49.441999,-123.672111
Roberts Memorial Park,49.062115,-123.775017
Roche Lake Park,50.474481,-120.138688
Roderick Haig-Brown Park,50.922469,-119.633729
Rolley Lake Park,49.243894,-122.385253
Rosebery Park,50.035094,-117.403500
Rosewall Creek Park,49.454604,-124.774144
Ross Lake Park,55.261859,-127.522239
Ruckle Park,48.773272,-123.372204
Ryan Park,49.134866,-116.031483
Saltery Bay Park,49.782818,-124.191254
Sandwell Park,49.184605,-123.816139
Sargeant Bay Park,49.478641,-123.863974
Sasquatch Park,49.358628,-121.701821
Saysutshun (Newcastle Island Marine) Park,49.189385,-123.935646
Schoen Lake Park,50.186889,-126.252932
Sechelt Inlets Marine Park,49.707707,-123.783730
Seeley Lake Park,55.198087,-127.688284
Seven Sisters Protected Area,54.938144,-128.178841
Shannon Falls Park,49.666394,-123.162099
Shuswap Lake Marine Park,51.023481,-119.029000
Shuswap Lake Park,50.908014,-119.438283
Silver Beach Park,51.235759,-118.940548
Silver Lake Park,49.315648,-121.413248
Silver Star Park,50.374723,-119.102077
Skagit Valley Park,49.091946,-121.121229
Skaha Bluffs Park,49.433939,-119.546110
Skihist Park,50.252174,-121.511525
Skookumchuck Narrows Park,49.741221,-123.909369
Smelt Bay Park,50.031322,-124.992270
Smuggler Cove Marine Park,49.515626,-123.960760
Sooke Potholes Park,48.428822,-123.712421
Sowchea Bay Park,54.419821,-124.449854
Spatsizi Plateau Wilderness Park,57.671286,-128.655677
Spider Lake Park,49.343235,-124.632005
Sproat Lake Park,49.291952,-124.928306
Squitty Bay Park,49.451643,-124.165379
St. Mary's Alpine Park,49.876176,-116.329355
Stagleap Park,49.060149,-117.044753
Stamp River Park,49.340598,-124.924821
Stawamus Chief Park,49.682996,-123.138434
Steelhead Park,50.756911,-120.865875
Stein Valley Nlaka'pamux Heritage Park,50.247817,-122.063918
Stemwinder Park,49.370825,-120.136860
Stikine River Park,58.000465,-128.691394
Stone Mountain Park,58.585921,-124.764074
Strathcona Park,49.837629,-125.619105
Sugarbowl-Grizzly Den Park,53.811366,-121.590450
Summit Lake Park,50.15626,-117.654022
Sun-Oka Beach Park,49.5647,-119.632381
Swan Lake Kispiox River Park,55.889537,-128.564875
Swan Lake Park,55.526734,-120.029269
swiws Park,49.014509,-119.455872
Sxotsaqel / Chilliwack Lake Park,49.089373,-121.455619
