"year","scenario","growthrate","population"
2020,"HG",13.6713918834603,5319324
2021,"HG",13.6025315916668,5391680.27275631
2022,"HG",13.5340181365253,5464651.37135414
2023,"HG",13.4658497710829,5538237.54577214
2024,"HG",13.3980247571861,5612438.98952157
2025,"HG",13.3305413654365,5687255.83963238
2026,"HG",13.2633978751457,5762688.17665117
2027,"HG",13.1965925742926,5838736.02465113
2028,"HG",13.1301237594793,5915399.35125372
2029,"HG",13.0639897358869,5992678.06766217
2030,"HG",12.9981888172337,6070572.02870654
2031,"HG",12.9327193257312,6149081.03290044
2032,"HG",12.8675795920419,6228204.8225092
2033,"HG",12.8027679552359,6307943.08362947
2034,"HG",12.7382827627496,6388295.44628007
2035,"HG",12.6741223703428,6469261.48450413
2036,"HG",12.6102851420571,6550840.71648225
2037,"HG",12.5467694501743,6633032.60465677
2038,"HG",12.4835736751744,6715836.55586684
2039,"HG",12.4206962056947,6799251.92149436
2040,"HG",12.3581354384888,6883277.99762059
2041,"HG",12.2958897783855,6967914.02519332
2042,"HG",12.2339576382482,7053159.19020449
2043,"HG",12.1723374389342,7139012.62387818
2044,"HG",12.1110276092551,7225473.40286879
2045,"HG",12.0500265859357,7312540.54946933
2046,"HG",11.9893328135752,7400213.03182968
2047,"HG",11.928944744607,7488489.7641847
2048,"HG",11.8688608392589,7577369.60709202
2049,"HG",11.8090795655149,7666851.36767948
2050,"HG",11.7495993990751,7756933.79990197
2051,"HG",11.6904188233172,7847615.60480757
2052,"HG",11.6315363292578,7938895.43081294
2053,"HG",11.5729504155143,8030771.87398769
2054,"HG",11.514659588266,8123243.47834768
2055,"HG",11.4566623612164,8216308.73615706
2056,"HG",11.3989572555551,8309966.08823896
2057,"HG",11.3415427999204,8404213.92429461
2058,"HG",11.2844175303613,8499050.58323082
2059,"HG",11.2275799903008,8594474.35349566
2060,"HG",11.1710287304982,8690483.47342209
2061,"HG",11.1147623090122,8787076.13157957
2062,"HG",11.0587792911646,8884250.46713337
2063,"HG",11.0030782495033,8982004.57021143
2064,"HG",10.947657763766,9080336.48227868
2065,"HG",10.8925164208441,9179244.19651869
2066,"HG",10.8376528147462,9278725.65822234
2067,"HG",10.783065546563,9378778.76518353
2068,"HG",10.7287532244312,9479401.36810172
2069,"HG",10.6747144634982,9580591.2709911
2070,"HG",10.6209478858861,9682346.23159627
2071,"HG",10.5674521206575,9784663.96181429
2072,"HG",10.5142258037804,9887542.12812292
2073,"HG",10.4612675780926,9990978.35201488
2074,"HG",10.4085760932682,10094970.210438
2075,"HG",10.3561500057823,10199515.2362412
2076,"HG",10.3039879788772,10304610.9186258
2077,"HG",10.2520886825283,10410254.7036025
2078,"HG",10.2004507934102,10516443.9944535
2079,"HG",10.1490729948622,10623176.1521996
2080,"HG",10.0979539768561,10730448.4960725
2081,"HG",10.0470924359618,10838258.3039919
2082,"HG",9.99648707531429,10946602.8130467
2083,"HG",9.94613660458078,11055479.2199813
2084,"HG",9.89603973992748,11164884.6816862
2085,"HG",9.84619520398704,11274816.3156921
2086,"HG",9.79660172582612,11385271.2006688
2087,"HG",9.74725804091283,11496246.3769275
2088,"HG",9.69816289108435,11607738.8469269
2089,"HG",9.64931502451501,11719745.5757832
2090,"HG",9.60071319568455,11832263.4917827
2091,"HG",9.5523561653459,11945289.4868984
2092,"HG",9.50424270049412,12058820.4173096
2093,"HG",9.4563715743345,12172853.1039238
2094,"HG",9.40874156625144,12287384.3329026
2095,"HG",9.36135146177751,12402410.8561888
2096,"HG",9.31420005256233,12517929.3920375
2097,"HG",9.26728613634163,12633936.625548
2098,"HG",9.2206085169067,12750429.2091996
2099,"HG",9.17416600407415,12867403.763388
2100,"HG",9.12795741365504,12984856.8769645
