"year","scenario","growthrate","population"
2020,"LG",8.40852172187346,5319324
2021,"LG",7.86363873662201,5361153.24225904
2022,"LG",7.35406486722194,5400579.51096573
2023,"LG",6.87751203770846,5437722.061563
2024,"LG",6.4318404423719,5472696.62223294
2025,"LG",6.01504893765545,5505615.16023661
2026,"LG",5.62526605666967,5536585.71031858
2027,"LG",5.26074160597836,5565712.25711992
2028,"LG",4.91983880692332,5593094.66427066
2029,"LG",4.60102694620126,5618828.64353363
2030,"LG",4.30287450269304,5643005.75803889
2031,"LG",4.02404271968286,5665713.45427665
2032,"LG",3.76327959360612,5687035.11810235
2033,"LG",3.51941425233384,5707050.15055053
2034,"LG",3.2913516977519,5725834.0597527
2035,"LG",3.07806788902745,5743458.56570992
2036,"LG",2.87860514448616,5759991.71508432
2037,"LG",2.69206784145375,5775498.00354753
2038,"LG",2.51761839475316,5790038.50356013
2039,"LG",2.3544734958004,5803670.99575642
2040,"LG",2.20190059541176,5816450.10237755
2041,"LG",2.05921461452954,5828427.42143305
2042,"LG",1.92577486809714,5839651.66048177
2043,"LG",1.80098218827075,5850168.76910801
2044,"LG",1.68427623405089,5860022.069331
2045,"LG",1.57513297525304,5869252.38332812
2046,"LG",1.47306233952035,5877898.15797514
2047,"LG",1.37760601181278,5885995.58581439
2048,"LG",1.2883353764924,5893578.72215347
2049,"LG",1.20484959276395,5900679.59807678
2050,"LG",1.12677379482953,5907328.32921958
2051,"LG",1.05375740867539,5913553.22021197
2052,"LG",0.985472577933232,5919380.86474864
2053,"LG",0.921612691747665,5924836.24128088
2054,"LG",0.861891008039722,5929942.80436135
2055,"LG",0.806039365984691,5934722.5716997
2056,"LG",0.753806981923005,5939196.20701002
2057,"LG",0.704959323297692,5943383.09874905
2058,"LG",0.659277055562085,5947301.43485847
2059,"LG",0.61655505732927,5950968.27363559
2060,"LG",0.576601499341128,5954399.6108647
2061,"LG",0.539236983121331,5957610.44334716
2062,"LG",0.504293735444773,5960614.82897196
2063,"LG",0.471614855006377,5963425.94347028
2064,"LG",0.441053607906744,5966056.13399813
2065,"LG",0.412472768791235,5968516.96969048
2066,"LG",0.385744004684073,5970819.2893284
2067,"LG",0.360747298750812,5972973.24625835
2068,"LG",0.337370411401707,5974988.35069973
2069,"LG",0.315508376316294,5976873.50957277
2070,"LG",0.29506302912621,5978637.06397521
2071,"LG",0.275942566639992,5980286.82443165
2072,"LG",0.258061134630651,5981830.10403498
2073,"LG",0.24133844233515,5983273.7495946
2074,"LG",0.225699401934812,5984624.1709015
2075,"LG",0.21107379139785,5985887.36821534
2076,"LG",0.197395939170148,5987068.95807416
2077,"LG",0.184604429298472,5988174.19752234
2078,"LG",0.172641825662078,5989208.00684818
2079,"LG",0.161454414074461,5990174.99091769
2080,"LG",0.150991961097255,5991079.45918689
2081,"LG",0.141207488483285,5991925.44447062
2082,"LG",0.132057062236008,5992716.72054196
2083,"LG",0.123499595338169,5993456.81863192
2084,"LG",0.115496663263896,5994149.04289589
2085,"LG",0.108012331445842,5994796.48490905
2086,"LG",0.101012993922686,5995402.03724994
2087,"LG",0.0944672224424742,5995968.40622783
2088,"LG",0.0883456253442633,5996498.12380622
2089,"LG",0.0826207155844104,5996993.55877221
2090,"LG",0.0772667873149339,5997456.92719805
2091,"LG",0.0722598004597498,5997890.30223887
2092,"LG",0.067577272770518,5998295.62330787
2093,"LG",0.0631981788774065,5998674.70466764
2094,"LG",0.0591028558814989,5999029.24347419
2095,"LG",0.0552729150649314,5999360.82730803
2096,"LG",0.0516911593223274,5999670.94122439
2097,"LG",0.0483415059427819,5999960.97435285
2098,"LG",0.0452089143956692,6000232.22607491
2099,"LG",0.0422793187960278,6000485.91180605
2100,"LG",0.0395395647462702,6000723.16840727
