"year","scenario","growthrate","population"
2020,"M1",11.0454358954423,5319324
2021,"M1",10.7998728236982,5376772.02270805
2022,"M1",10.5597691310837,5433549.49393831
2023,"M1",10.3250034442169,5489650.91117755
2024,"M1",10.0954570880993,5545071.44637999
2025,"M1",9.87101402612498,5599806.92440307
2026,"M1",9.65156080142389,5653853.80141018
2027,"M1",9.43698647950871,5707209.14329121
2028,"M1",9.22718259219713,5759870.60414821
2029,"M1",9.02204308278055,5811836.40489008
2030,"M1",8.82146425241234,5863105.31197668
2031,"M1",8.62534470768739,5913676.61634996
2032,"M1",8.43358530938747,5963550.11258607
2033,"M1",8.2460891223657,6012726.07830015
2034,"M1",8.06276136654586,6061205.25383189
2035,"M1",7.88350936901035,6108988.82223797
2036,"M1",7.70824251715383,6156078.38961436
2037,"M1",7.53687221287811,6202475.96576935
2038,"M1",7.36931182780535,6248183.94526557
2039,"M1",7.20547665948733,6293205.08884736
2040,"M1",7.04528388858781,6337542.5052674
2041,"M1",6.88865253701712,6381199.63352476
2042,"M1",6.7355034269974,6424180.22552472
2043,"M1",6.58575914103775,6466488.32916865
2044,"M1",6.43934398279967,6508128.27188092
2045,"M1",6.29618393883206,6549104.6445782
2046,"M1",6.15620664115721,6589422.28608478
2047,"M1",6.01934133068834,6629086.26799677
2048,"M1",5.88551882146082,6668101.87999616
2049,"M1",5.75467146565825,6706474.61561507
2050,"M1",5.62673311941625,6744210.15844928
2051,"M1",5.5016391093865,6781314.36881892
2052,"M1",5.37932620004394,6817793.27087385
2053,"M1",5.25973256172125,6853653.04013974
2054,"M1",5.14279773935344,6888899.99150089
2055,"M1",5.02846262191776,6923540.56761428
2056,"M1",4.91666941255263,6957581.32774964
2057,"M1",4.80736159934132,6991028.93704895
2058,"M1",4.70048392674482,7023890.15619896
2059,"M1",4.59598236766997,7056171.8315093
2060,"M1",4.49380409615858,7087880.88538894
2061,"M1",4.39389746068355,7119024.30721288
2062,"M1",4.29621195803905,7149609.14457109
2063,"M1",4.20069820781078,7179642.49489124
2064,"M1",4.10730792741402,7209131.49742651
2065,"M1",4.01599390768662,7238083.32559988
2066,"M1",3.92670998902444,7266505.17969591
2067,"M1",3.8394110380477,7294404.27989086
2068,"M1",3.75405292478573,7321787.85961236
2069,"M1",3.67059250036914,7348663.15921914
2070,"M1",3.58898757521781,7375037.41999204
2071,"M1",3.50919689771404,7400917.8784268
2072,"M1",3.43118013334959,7426311.76081981
2073,"M1",3.35489784433642,7451226.27813756
2074,"M1",3.28031146967081,7475668.62116085
2075,"M1",3.20738330564045,7499645.95589486
2076,"M1",3.13607648676527,7523165.4192362
2077,"M1",3.06635496716167,7546234.11488826
2078,"M1",2.99818350232122,7568859.10951617
2079,"M1",2.93152763129433,7591047.42913309
2080,"M1",2.86635365927026,7612806.05570928
2081,"M1",2.80262864054413,7634141.92399592
2082,"M1",2.74032036186281,7655061.91855559
2083,"M1",2.67939732614095,7675572.87099162
2084,"M1",2.61982873653902,7695681.55736844
2085,"M1",2.56158448089553,7715394.69581571
2086,"M1",2.50463511650511,7734718.94430854
2087,"M1",2.4489518552351,7753660.89861693
2088,"M1",2.3945065489731,7772227.09041719
2089,"M1",2.34127167539788,7790423.98555874
2090,"M1",2.28922032406684,7808257.98247958
2091,"M1",2.23832618281265,7825735.41076392
2092,"M1",2.1885635244423,7842862.52983585
2093,"M1",2.13990719373191,7859645.5277829
2094,"M1",2.09233259471071,7876090.52030355
2095,"M1",2.04581567822765,7892203.54977313
2096,"M1",2.00033292979442,7907990.58442238
2097,"M1",1.95586135769887,7923457.5176235
2098,"M1",1.91237848138248,7938610.16727835
2099,"M1",1.8698623200765,7953454.27530392
2100,"M1",1.82829138169045,7967995.50721013
