"year","scenario","growthrate","population"
2020,"SA",12.8774982591344,5319324
2021,"SA",12.7921237915876,5387369.45109556
2022,"SA",12.7073153345782,5455828.45353451
2023,"SA",12.6230691356034,5524697.75329547
2024,"SA",12.5393814670383,5593974.04591413
2025,"SA",12.4562486259716,5663653.97743727
2026,"SA",12.3736669340409,5733734.14538373
2027,"SA",12.291632737271,5804211.09971194
2028,"SA",12.2101424059111,5875081.34379339
2029,"SA",12.1291923342747,5946341.33539177
2030,"SA",12.0487789405803,6017987.48764714
2031,"SA",11.9688986667925,6090016.17006481
2032,"SA",11.8895479784651,6162423.70950843
2033,"SA",11.8107233645839,6235206.39119678
2034,"SA",11.7324213374119,6308360.45970403
2035,"SA",11.6546384323352,6381882.11996272
2036,"SA",11.5773712077091,6455767.53826937
2037,"SA",11.5006162447063,6530012.84329204
2038,"SA",11.4243701471652,6604614.12707955
2039,"SA",11.3486295414401,6679567.44607194
2040,"SA",11.2733910762515,6754868.8221117
2041,"SA",11.1986514225383,6830514.2434555
2042,"SA",11.1244072733098,6906499.66578585
2043,"SA",11.0506553435002,6982821.01322245
2044,"SA",10.9773923698224,7059474.17933283
2045,"SA",10.9046151106245,7136455.02814185
2046,"SA",10.8323203457457,7213759.39513968
2047,"SA",10.760504876374,7291383.08828807
2048,"SA",10.6891655249046,7369321.88902428
2049,"SA",10.6182991347996,7447571.55326256
2050,"SA",10.5479025704481,7526127.81239282
2051,"SA",10.4779727170275,7604986.37427593
2052,"SA",10.4085064803653,7684142.92423567
2053,"SA",10.339500786803,7763593.12604671
2054,"SA",10.2709525830596,7843332.62291851
2055,"SA",10.2028588360965,7923357.03847469
2056,"SA",10.1352165329831,8003661.97772777
2057,"SA",10.0680226807642,8084243.0280487
2058,"SA",10.0012743063267,8165095.76013123
2059,"SA",9.93496845626873,8246215.72895055
2060,"SA",9.86910219676875,8327598.47471616
2061,"SA",9.8036726134554,8409239.52381859
2062,"SA",9.73867681127903,8491134.38976969
2063,"SA",9.67411191438355,8573278.5741364
2064,"SA",9.60997506597884,8655667.56746754
2065,"SA",9.54626342821468,8738296.85021364
2066,"SA",9.48297418205488,8821161.89363934
2067,"SA",9.42010452715292,8904258.16072836
2068,"SA",9.35765168172777,8987581.10708064
2069,"SA",9.29561288244097,9071126.1818016
2070,"SA",9.23398538427407,9154888.82838327
2071,"SA",9.17276646040752,9238864.48557702
2072,"SA",9.11195340209999,9323048.58825791
2073,"SA",9.0515435185682,9407436.56828026
2074,"SA",8.99153413686823,9492023.85532437
2075,"SA",8.93192260177686,9576805.87773435
2076,"SA",8.87270627567451,9661778.06334664
2077,"SA",8.81388253842826,9746935.84030934
2078,"SA",8.75544878727607,9832274.63789203
2079,"SA",8.69740243671133,9917789.88728605
2080,"SA",8.63974091836888,10003477.022395
2081,"SA",8.58246168091101,10089331.4806156
2082,"SA",8.5255621899149,10175348.7036083
2083,"SA",8.46903992776017,10261524.138058
2084,"SA",8.4128923935175,10347853.236425
2085,"SA",8.35711710283826,10434331.4576847
2086,"SA",8.30171158784435,10520954.2680584
2087,"SA",8.24667339701904,10607717.1417321
2088,"SA",8.1920000950986,10694615.5615659
2089,"SA",8.13768926296427,10781645.0197928
2090,"SA",8.08373849753557,10868801.0187061
2091,"SA",8.03014541166388,10956079.0713367
2092,"SA",7.9769076340267,11043474.7021199
2093,"SA",7.92402280902263,11130983.4475503
2094,"SA",7.87148859666747,11218600.8568274
2095,"SA",7.81930267249047,11306322.4924888
2096,"SA",7.76746272743148,11394143.9310335
2097,"SA",7.71596646773892,11482060.763534
2098,"SA",7.66481161486799,11570068.5962369
2099,"SA",7.61399590538016,11658163.0511536
2100,"SA",7.56351709084304,11746339.7666389
