year,BCpop,growth per 1000
1980,2745861,
1981,2826558,29.4
1982,2876513,17.7
1983,2907502,10.8
1984,2947181,13.6
1985,2975131,9.5
1986,3003621,9.6
1987,3048651,15
1988,3114761,21.7
1989,3196725,26.3
1990,3292111,29.8
1991,3373787,24.8
1992,3468802,28.2
1993,3567772,28.5
1994,3676075,30.4
1995,3777390,27.6
1996,3874317,25.7
1997,3948583,19.2
1998,3983113,8.7
1999,4011375,7.1
2000,4039230,6.9
2001,4076950,9.3
2002,4100564,5.8
2003,4124482,5.8
2004,4155651,7.6
2005,4196062,9.7
2006,4241794,10.9
2007,4290984,11.6
2008,4349336,13.6
2009,4410506,14.1
2010,4465546,12.5
2011,4502104,8.2
2012,4566769,14.4
2013,4630077,13.9
2014,4707103,16.6
2015,4776388,14.7
2016,4859250,17.3
2017,4929384,14.4
2018,5010476,16.5
2019,5094796,16.8
2020,5158728,12.5
2021,5214805,10.9
2022,5286528,13.8
