"year","scenario","growthrate","population"
2020,"FA",9.21855942397642,5286528
2021,"FA",8.77982726498072,5332942.80267148
2022,"FA",8.36197536487194,5377536.73900969
2023,"FA",7.96400998475443,5420363.49529255
2024,"FA",7.58498468002114,5461476.86936449
2025,"FA",7.22399804951141,5500930.56761623
2026,"FA",6.88019159179096,5538778.02385457
2027,"FA",6.5527476634566,5575072.23860879
2028,"FA",6.24088753460994,5609865.63744727
2029,"FA",5.94386953687514,5643209.94691566
2030,"FA",5.66098729955729,5675156.08675388
2031,"FA",5.39156806974549,5705754.07710205
2032,"FA",5.13497111236633,5735052.95946223
2033,"FA",4.89058618638217,5763100.73024395
2034,"FA",4.65783209351107,5789944.28578342
2035,"FA",4.43615529601595,5815629.37779043
2036,"FA",4.22502860027657,5840200.57824021
2037,"FA",4.02394990301325,5863701.25279059
2038,"FA",3.83244099718054,5886173.54186701
2039,"FA",3.65004643469137,5907658.34861747
2040,"FA",3.47633244326645,5928195.33299851
2041,"FA",3.31088589483349,5947822.91130835
2042,"FA",3.15331332302249,5966578.26053756
2043,"FA",3.00323998742069,5984497.32695768
2044,"FA",2.86030898236188,6001614.83841689
2045,"FA",2.72418038813028,6017964.31985682
2046,"FA",2.59453046256062,6033578.11160729
2047,"FA",2.4710508711118,6048487.3900559
2048,"FA",2.35344795358312,6062722.1903263
2049,"FA",2.24144202572914,6076311.43063402
2050,"FA",2.13476671411222,6089282.93802072
2051,"FA",2.03316832261099,6101663.47519772
2052,"FA",1.9364052290781,6113478.76825716
2053,"FA",1.84424731071242,6124753.53503462
2054,"FA",1.75647539677905,6135511.51393024
2055,"FA",1.67288074737566,6145775.4930172
2056,"FA",1.59326455700545,6155567.33928554
2057,"FA",1.51743748177629,6164908.02788777
2058,"FA",1.4452191891015,6173817.67126872
2059,"FA",1.37643792883133,6182315.54807714
2060,"FA",1.31093012479538,6190420.1317701
2061,"FA",1.24853998578428,6198149.11883342
2062,"FA",1.18911913504583,6205519.4565525
2063,"FA",1.13252625741412,6212547.37027793
2064,"FA",1.0786267632326,6219248.39013937
2065,"FA",1.02729246827186,6225637.37716887
2066,"FA",0.978401288880783,6231728.54880279
2067,"FA",0.931836951646226,6237535.5037372
2068,"FA",0.887488716870583,6243071.24611784
2069,"FA",0.845251115209722,6248348.20905096
2070,"FA",0.805023696844877,6253378.27742538
2071,"FA",0.766710792592088,6258172.81004085
2072,"FA",0.730221286380918,6262742.66104059
2073,"FA",0.695468398561454,6267098.20064966
2074,"FA",0.662369479524222,6271249.33522296
2075,"FA",0.630845813142174,6275205.52660925
2076,"FA",0.60082242956736,6278975.81083978
2077,"FA",0.572227926936988,6282568.81615131
2078,"FA",0.544994301564927,6285992.7803553
2079,"FA",0.519056786214747,6289255.56756604
2080,"FA",0.494353696069765,6292364.68430139
2081,"FA",0.470826282033675,6295327.2949709
2082,"FA",0.448418591012961,6298150.23676648
2083,"FA",0.427077332848783,6300840.03397148
2084,"FA",0.40675175358186,6303402.91170434
2085,"FA",0.387393514749,6305844.80911318
2086,"FA",0.368956578424143,6308171.39203802
2087,"FA",0.351397097730589,6310388.06515717
2088,"FA",0.334673312563987,6312499.9836345
2089,"FA",0.318745450278091,6314512.06428417
2090,"FA",0.303575631097142,6316428.99626915
2091,"FA",0.289127778029847,6318255.25134993
2092,"FA",0.275367531070792,6319995.09369917
2093,"FA",0.262262165485169,6321652.5892983
2094,"FA",0.249780513982556,6323231.61493127
2095,"FA",0.237892892594599,6324735.86679069
2096,"FA",0.226571030080343,6326168.86871102
2097,"FA",0.215788000691339,6327533.98004323
2098,"FA",0.205518160136594,6328834.40318501
2099,"FA",0.195737084595113,6330073.19077998
2100,"FA",0.186421512630953,6331253.25259927
