"year","scenario","growthrate","population"
2020,"M5",13.2000484775783,5286528
2021,"M5",12.9971399876499,5355237.74446463
2022,"M5",12.7973505662125,5423770.59924596
2023,"M5",12.6006322675726,5492113.53807073
2024,"M5",12.4069378830483,5560253.84958422
2025,"M5",12.2162209296401,5628179.13903562
2026,"M5",12.0284356388759,5695877.32957358
2027,"M5",11.8435369458271,5763336.66316528
2028,"M5",11.6614804782945,5830545.70115262
2029,"M5",11.4822225461589,5897493.32445881
2030,"M5",11.3057201308973,5964168.73345897
2031,"M5",11.1319308752587,6030561.44752822
2032,"M5",10.960813073099,6096661.30428041
2033,"M5",10.7923256593726,6162458.4585111
2034,"M5",10.6264282002779,6227943.38085766
2035,"M5",10.463080883553,6293106.85618977
2036,"M5",10.3022445089225,6357939.98174301
2037,"M5",10.1438804786898,6422434.16500849
2038,"M5",9.98795078847377,6486581.12139081
2039,"M5",9.8344180180896,6550372.87164682
2040,"M5",9.68324532256777,6613801.73911726
2041,"M5",9.53439642331217,6676860.3467632
2042,"M5",9.38783559939414,6739541.61401873
2043,"M5",9.24352767897973,6801838.75347154
2044,"M5",9.10143803088952,6863745.26738237
2045,"M5",8.96153255628757,6925254.94405408
2046,"M5",8.82377768049847,6986361.85406119
2047,"M5",8.68814034494968,7047060.34634987
2048,"M5",8.55458799923869,7107345.04421867
2049,"M5",8.42308859332111,7167210.84118942
2050,"M5",8.2936105698194,7226652.89677804
2051,"M5",8.16612285644977,7285666.63217405
2052,"M5",8.04059485856504,7344247.72583792
2053,"M5",7.91699645181309,7402392.10902462
2054,"M5",7.79529797490717,7460095.96124157
2055,"M5",7.67547022250793,7517355.70564913
2056,"M5",7.55748443821444,7574168.00441109
2057,"M5",7.44131230766358,7630529.75400263
2058,"M5",7.32692595173481,7686438.08048272
2059,"M5",7.21429791985987,7741890.33473788
2060,"M5",7.10340118343516,7796884.08770368
2061,"M5",6.99420912933517,7851417.12557026
2062,"M5",6.88669555352617,7905487.44497781
2063,"M5",6.78083465477754,7959093.24820762
2064,"M5",6.67660102846988,8012232.93837429
2065,"M5",6.57396966049866,8064905.11462401
2066,"M5",6.47291592127092,8117108.567344
2067,"M5",6.37341555979503,8168842.27338766
2068,"M5",6.27544469786065,8220105.39131985
2069,"M5",6.17897982430857,8270897.2566865
2070,"M5",6.08399778938817,8321217.37731244
2071,"M5",5.99047579920237,8371065.42863113
2072,"M5",5.89839141023719,8420441.2490499
2073,"M5",5.80772252397585,8469344.83535383
2074,"M5",5.71844738159558,8517776.33815139
2075,"M5",5.63054455874572,8565736.05736478
2076,"M5",5.54399296040651,8613224.43776751
2077,"M5",5.4587718158266,8660242.06457178
2078,"M5",5.37486067353847,8706789.65906797
2079,"M5",5.29223939645031,8752868.0743183
2080,"M5",5.21088815701382,8798478.29090667
2081,"M5",5.13078743246563,8843621.41274647
2082,"M5",5.05191800014245,8888298.66294797
2083,"M5",4.97426093286792,8932511.37974674
2084,"M5",4.89779759441031,8976261.0124945
2085,"M5",4.82250963501042,9019549.11771362
2086,"M5",4.74837898697781,9062377.35521619
2087,"M5",4.67538786035492,9104747.48428872
2088,"M5",4.60351873864791,9146661.3599433
2089,"M5",4.53275437462283,9188120.92923578
2090,"M5",4.46307778616688,9229128.22765167
2091,"M5",4.3944722522128,9269685.3755602
2092,"M5",4.3269213087263,9309794.5747369
2093,"M5",4.26040874475475,9349458.10495498
2094,"M5",4.19491859853717,9388678.3206457
2095,"M5",4.13043515367351,9427457.64762782
2096,"M5",4.06694293535306,9465798.57990618
2097,"M5",4.00442670664082,9503703.67653924
2098,"M5",3.94287146482082,9541175.55857558
2099,"M5",3.88226243779585,9578216.90605906
2100,"M5",3.82258508054244,9614830.45510236
