"year","scenario","growthrate","population"
2020,"HG",13.6713918834603,5286528
2021,"HG",13.6025315916668,5358438.16413023
2022,"HG",13.5340181365253,5430959.36342702
2023,"HG",13.4658497710829,5504091.84632778
2024,"HG",13.3980247571861,5577835.80515071
2025,"HG",13.3305413654365,5652191.37608088
2026,"HG",13.2633978751457,5727158.63916831
2027,"HG",13.1965925742926,5802737.61833776
2028,"HG",13.1301237594793,5878928.28141032
2029,"HG",13.0639897358869,5955730.54013668
2030,"HG",12.9981888172337,6033144.25024194
2031,"HG",12.9327193257312,6111169.21148197
2032,"HG",12.8675795920419,6189805.16771115
2033,"HG",12.8027679552359,6269051.80696147
2034,"HG",12.7382827627496,6348908.76153287
2035,"HG",12.6741223703428,6429375.60809468
2036,"HG",12.6102851420571,6510451.86779814
2037,"HG",12.5467694501743,6592137.00639986
2038,"HG",12.4835736751744,6674430.4343961
2039,"HG",12.4206962056947,6757331.50716778
2040,"HG",12.3581354384888,6840839.52513612
2041,"HG",12.2958897783855,6924953.73392882
2042,"HG",12.2339576382482,7009673.32455653
2043,"HG",12.1723374389342,7094997.43359973
2044,"HG",12.1110276092551,7180925.14340565
2045,"HG",12.0500265859357,7267455.4822953
2046,"HG",11.9893328135752,7354587.42478038
2047,"HG",11.928944744607,7442319.89178997
2048,"HG",11.8688608392589,7530651.75090687
2049,"HG",11.8090795655149,7619581.81661352
2050,"HG",11.7495993990751,7709108.8505472
2051,"HG",11.6904188233172,7799231.56176464
2052,"HG",11.6315363292578,7889948.6070156
2053,"HG",11.5729504155143,7981258.59102555
2054,"HG",11.514659588266,8073160.06678713
2055,"HG",11.4566623612164,8165651.53586036
2056,"HG",11.3989572555551,8258731.44868139
2057,"HG",11.3415427999204,8352398.20487966
2058,"HG",11.2844175303613,8446650.15360336
2059,"HG",11.2275799903008,8541485.59385303
2060,"HG",11.1710287304982,8636902.7748231
2061,"HG",11.1147623090122,8732899.89625131
2062,"HG",11.0587792911646,8829475.10877579
2063,"HG",11.0030782495033,8926626.51429969
2064,"HG",10.947657763766,9024352.1663632
2065,"HG",10.8925164208441,9122650.07052279
2066,"HG",10.8376528147462,9221518.18473754
2067,"HG",10.783065546563,9320954.41976238
2068,"HG",10.7287532244312,9420956.63954818
2069,"HG",10.6747144634982,9521522.66164836
2070,"HG",10.6209478858861,9622650.25763201
2071,"HG",10.5674521206575,9724337.15350337
2072,"HG",10.5142258037804,9826581.03012739
2073,"HG",10.4612675780926,9929379.52366136
2074,"HG",10.4085760932682,10032730.2259923
2075,"HG",10.3561500057823,10136630.6851803
2076,"HG",10.3039879788772,10241078.4059067
2077,"HG",10.2520886825283,10346070.8499288
2078,"HG",10.2004507934102,10451605.4365386
2079,"HG",10.1490729948622,10557679.5430275
2080,"HG",10.0979539768561,10664290.5051554
2081,"HG",10.0470924359618,10771435.6176246
2082,"HG",9.99648707531429,10879112.1345588
2083,"HG",9.94613660458078,10987317.2699857
2084,"HG",9.89603973992748,11096048.1983247
2085,"HG",9.84619520398704,11205302.0548782
2086,"HG",9.79660172582612,11315075.9363274
2087,"HG",9.74725804091283,11425366.9012313
2088,"HG",9.69816289108435,11536171.9705299
2089,"HG",9.64931502451501,11647488.1280505
2090,"HG",9.60071319568455,11759312.3210181
2091,"HG",9.5523561653459,11871641.460568
2092,"HG",9.50424270049412,11984472.4222624
2093,"HG",9.4563715743345,12097802.0466097
2094,"HG",9.40874156625144,12211627.1395859
2095,"HG",9.36135146177751,12325944.4731598
2096,"HG",9.31420005256233,12440750.7858196
2097,"HG",9.26728613634163,12556042.7831027
2098,"HG",9.2206085169067,12671817.1381272
2099,"HG",9.17416600407415,12788070.4921257
2100,"HG",9.12795741365504,12904799.4549806
