"year","scenario","growthrate","population"
2020,"SA",12.8774982591344,5286528
2021,"SA",12.7921237915876,5354153.92060369
2022,"SA",12.7073153345782,5422190.84282267
2023,"SA",12.6230691356034,5490635.53269806
2024,"SA",12.5393814670383,5559484.70613904
2025,"SA",12.4562486259716,5628735.02987099
2026,"SA",12.3736669340409,5698383.12239058
2027,"SA",12.291632737271,5768425.55492727
2028,"SA",12.2101424059111,5838858.85241083
2029,"SA",12.1291923342747,5909679.4944444
2030,"SA",12.0487789405803,5980883.91628264
2031,"SA",11.9688986667925,6052468.50981448
2032,"SA",11.8895479784651,6124429.62455007
2033,"SA",11.8107233645839,6196763.56861149
2034,"SA",11.7324213374119,6269466.60972677
2035,"SA",11.6546384323352,6342534.97622673
2036,"SA",11.5773712077091,6415964.85804438
2037,"SA",11.5006162447063,6489752.40771627
2038,"SA",11.4243701471652,6563893.74138548
2039,"SA",11.3486295414401,6638384.93980584
2040,"SA",11.2733910762515,6713222.04934697
2041,"SA",11.1986514225383,6788401.08299971
2042,"SA",11.1244072733098,6863918.02138157
2043,"SA",11.0506553435002,6939768.8137419
2044,"SA",10.9773923698224,7015949.3789662
2045,"SA",10.9046151106245,7092455.60657945
2046,"SA",10.8323203457457,7169283.3577479
2047,"SA",10.760504876374,7246428.46627906
2048,"SA",10.6891655249046,7323886.73961949
2049,"SA",10.6182991347996,7401653.95985017
2050,"SA",10.5479025704481,7479725.88467884
2051,"SA",10.4779727170275,7558098.24842935
2052,"SA",10.4085064803653,7636766.76302736
2053,"SA",10.339500786803,7715727.11898231
2054,"SA",10.2709525830596,7794974.98636521
2055,"SA",10.2028588360965,7874506.015782
2056,"SA",10.1352165329831,7954315.83934222
2057,"SA",10.0680226807642,8034400.07162268
2058,"SA",10.0012743063267,8114754.31062575
2059,"SA",9.93496845626873,8195374.13873219
2060,"SA",9.86910219676875,8276255.12364809
2061,"SA",9.8036726134554,8357392.81934577
2062,"SA",9.73867681127903,8438782.76699829
2063,"SA",9.67411191438355,8520420.4959074
2064,"SA",9.60997506597884,8602301.52442472
2065,"SA",9.54626342821468,8684421.36086581
2066,"SA",9.48297418205488,8766775.50441699
2067,"SA",9.42010452715292,8849359.44603468
2068,"SA",9.35765168172777,8932168.66933708
2069,"SA",9.29561288244097,9015198.65148791
2070,"SA",9.23398538427407,9098444.86407207
2071,"SA",9.17276646040752,9181902.7739631
2072,"SA",9.11195340209999,9265567.84418206
2073,"SA",9.0515435185682,9349435.53474792
2074,"SA",8.99153413686823,9433501.30351906
2075,"SA",8.93192260177686,9517760.60702585
2076,"SA",8.87270627567451,9602208.90129418
2077,"SA",8.81388253842826,9686841.64265963
2078,"SA",8.75544878727607,9771654.28857239
2079,"SA",8.69740243671133,9856642.29839252
2080,"SA",8.63974091836888,9941801.13417567
2081,"SA",8.58246168091101,10027126.261449
2082,"SA",8.5255621899149,10112613.1499771
2083,"SA",8.46903992776017,10198257.2745182
2084,"SA",8.4128923935175,10284054.1155702
2085,"SA",8.35711710283826,10369999.1601059
2086,"SA",8.30171158784435,10456087.9022993
2087,"SA",8.24667339701904,10542315.8442401
2088,"SA",8.1920000950986,10628678.4966387
2089,"SA",8.13768926296427,10715171.3795202
2090,"SA",8.08373849753557,10801790.0229086
2091,"SA",8.03014541166388,10888529.9674988
2092,"SA",7.9769076340267,10975386.7653199
2093,"SA",7.92402280902263,11062355.9803861
2094,"SA",7.87148859666747,11149433.189338
2095,"SA",7.81930267249047,11236613.9820721
2096,"SA",7.76746272743148,11323893.9623604
2097,"SA",7.71596646773892,11411268.7484582
2098,"SA",7.66481161486799,11498733.9737018
2099,"SA",7.61399590538016,11586285.2870946
2100,"SA",7.56351709084304,11673918.3538829
